येस	य े स |
अवशिष्टकेँ	अ व श ि ष ् ट क े ँ |
चकिया	च क ि य ा |
ट्रांसपोर्टेशन	ट ् र ा ं स प ो र ् ट े श न |
रोडेंट	र ो ड े ं ट |
बिषहरण	ब ि ष ह र ण |
झारी	झ ा र ी |
सट्टाबाज	स ट ् ट ा ब ा ज |
सेवामे	स े व ा म े |
माटिकेर	म ा ट ि क े र |
कंपनीकेँ	क ं प न ी क े ँ |
सुविधानुसार	स ु व ि ध ा न ु स ा र |
बदल	ब द ल |
तेसरका	त े स र क ा |
बड़	ब ड ़ |
निकलते	न ि क ल त े |
बछ्छा	ब छ ् छ ा |
छोरल	छ ो र ल |
रहरि	र ह र ि |
करनाई	क र न ा ई |
पाठ्यक्रममे	प ा ठ ् य क ् र म म े |
उगहय	उ ग ह य |
चंगथंगी	च ं ग थ ं ग ी |
मुकाबले	म ु क ा ब ल े |
करेंसीक	क र े ं स ी क |
बिनिमय	ब ि न ि म य |
केससँ	क े स स ँ |
कुट्टू	क ु ट ् ट ू |
हटबै	ह ट ब ै |
खावर	ख ा व र |
फसतै	फ स त ै |
हाकीम	ह ा क ी म |
बिछन	ब ि छ न |
पतरी	प त र ी |
बियामे	ब ि य ा म े |
निशा	न ि श ा |
चीकू	च ी क ू |
बकरियो	ब क र ि य ो |
नीच्चा	न ी च ् च ा |
क्रीप	क ् र ी प |
कोर	क ो र |
साटल	स ा ट ल |
कीनलकै	क ी न ल क ै |
अतेक	अ त े क |
गिरलै	ग ि र ल ै |
आनभी	आ न भ ी |
खाधि	ख ा ध ि |
अम्लीकरन	अ म ् ल ी क र न |
देनहार	द े न ह ा र |
असूली	अ स ू ल ी |
राखइ	र ा ख इ |
ओटी	ओ ट ी |
राजाली	र ा ज ा ल ी |
वेराइटी	व े र ा इ ट ी |
नुकाए	न ु क ा ए |
छिपाए	छ ि प ा ए |
कंप्युटेशनल	क ं प ् य ु ट े श न ल |
अप्लाइड	अ प ् ल ा इ ड |
दुधि	द ु ध ि |
नेहा	न े ह ा |
सानेंन	स ा न े ं न |
स्विटजरलैंडमे	स ् व ि ट ज र ल ै ं ड म े |
घसि	घ स ि |
लगएला	ल ग ए ल ा |
परशानी	प र श ा न ी |
बचाबे	ब च ा ब े |
फ्रांगीपानी	फ ् र ा ं ग ी प ा न ी |
छाँही	छ ा ँ ह ी |
बैसला	ब ै स ल ा |
ब्रुसोलिस	ब ् र ु स ो ल ि स |
इंफ्लुएजा	इ ं फ ् ल ु ए ज ा |
निगमकेँ	न ि ग म क े ँ |
कांपी	क ा ं प ी |
कपरा	क प र ा |
जुत्ता	ज ु त ् त ा |
ग्राउंड	ग ् र ा उ ं ड |
लागतनि	ल ा ग त न ि |
टैक्नोलॉजी	ट ै क ् न ो ल ॉ ज ी |
साइंसक	स ा इ ं स क |
सीखाबै	स ी ख ा ब ै |
पैनल	प ै न ल |
अलाना	अ ल ा न ा |
बूझे	ब ू झ े |
परिजन	प र ि ज न |
आसमान	आ स म ा न |
क्रोकस	क ् र ो क स |
सेटिबस	स े ट ि ब स |
पलांट	प ल ा ं ट |
खाद्यान्नकेँ	ख ा द ् य ा न ् न क े ँ |
सिकुड़	स ि क ु ड़ |
मालकेँ	म ा ल क े ँ |
स्पाइडर	स ् प ा इ ड र |
इस्बीमे	इ स ् ब ी म े |
फुला	फ ु ल ा |
अरबा	अ र ब ा |
चुड़ा	च ु ड़ ा |
फायर	फ ा य र |
प्रिवेंशन	प ् र ि व े ं श न |
मेनैजर	म े न ै ज र |
पैकैज	प ै क ै ज |
करेलहुँ	क र े ल ह ु ँ |
नेना	न े न ा |
भुटका	भ ु ट क ा |
उपजाकेँ	उ प ज ा क े ँ |
ड्रग	ड ् र ग |
मौधे	म ौ ध े |
दामी	द ा म ी |
रेगुलेटेड	र े ग ु ल े ट े ड |
रिटायरमेंट	र ि ट ा य र म े ं ट |
दरकेँ	द र क े ँ |
मानि	म ा न ि |
मेंटेन	म े ं ट े न |
फार्मिंगमे	फ ा र ् म ि ं ग म े |
बदलीमे	ब द ल ी म े |
लागइ	ल ा ग इ |
मनिजर	म न ि ज र |
अहॅँ	अ ह ॅ ँ |
अमेरिकासँ	अ म े र ि क ा स ँ |
कमाकेँ	क म ा क े ँ |
अयलाह	अ य ल ा ह |
खेलिक	ख े ल ि क |
पथारी	प थ ा र ी |
तरीकामे	त र ी क ा म े |
बॉकी	ब ॉ क ी |
पहिलुका	प ह ि ल ु क ा |
गामसँ	ग ा म स ँ |
कीशकरि	क ी श क र ि |
क्रुटोशियनमे	क ् र ु ट ो श ि य न म े |
क्राइफिश	क ् र ा इ फ ि श |
एक्कैसमे	ए क ् क ै स म े |
करोड़क	क र ो ड़ क |
सुआर्थ	स ु आ र ् थ |
मदना	म द न ा |
कौड़ीक	क ौ ड़ ी क |
सभलग	स भ ल ग |
डिकौटक	ड ि क ौ ट क |
मेनटेन	म े न ट े न |
आर्गेनाइजेशन	आ र ् ग े न ा इ ज े श न |
पंद्रहटा	प ं द ् र ह ट ा |
धरातलीय	ध र ा त ल ी य |
ग्लासियर	ग ् ल ा स ि य र |
काम्पलेक्स	क ा म ् प ल े क ् स |
टिम्बर	ट ि म ् ब र |
बिनीर	ब ि न ी र |
प्लाईवुड	प ् ल ा ई व ु ड |
सोनासँ	स ो न ा स ँ |
बचाबइयो	ब च ा ब इ य ो |
चुकंदरो	च ु क ं द र ो |
रपे	र प े |
नइका	न इ क ा |
रासायनक	र ा स ा य न क |
बरू	ब र ू |
सामग्रीकेँ	स ा म ग ् र ी क े ँ |
नारियरक	न ा र ि य र क |
जट्टा	ज ट ् ट ा |
पएल	प ए ल |
धारीकेँ	ध ा र ी क े ँ |
बाटे	ब ा ट े |
हँ	ह ँ |
जीनोम	ज ी न ो म |
इंजिनियरिंग	इ ं ज ि न ि य र ि ं ग |
ईलाज	ई ल ा ज |
गौआँ	ग ौ आ ँ |
विचाइर	व ि च ा इ र |
सएह	स ए ह |
लेनदेनक	ल े न द े न क |
पासबुकमे	प ा स ब ु क म े |
बैलंंस	ब ै ल ं ं स |
केसबुक	क े स ब ु क |
कौनुआ	क ौ न ु आ |
हैयत	ह ै य त |
परिसम्पत्तिकेँ	प र ि स म ् प त ् त ि क े ँ |
शुरूआती	श ु र ू आ त ी |
ओझरा	ओ झ र ा |
घुमेबाक	घ ु म े ब ा क |
खोललथि	ख ो ल ल थ ि |
खेबा	ख े ब ा |
सूदि	स ू द ि |
मुलतः	म ु ल त ः |
बीचला	ब ी च ल ा |
छिल्के	छ ि ल ् क े |
चलई	च ल ई |
रिफ्लेशनक	र ि फ ् ल े श न क |
मंदीक	म ं द ी क |
फंगी	फ ं ग ी |
इस्ट	इ स ् ट |
चट्टानक	च ट ् ट ा न क |
रंध्रकोश	र ं ध ् र क ो श |
शर्तेक	श र ् त े क |
मुड़के	म ु ड़ क े |
सिकुर	स ि क ु र |
पकरल	प क र ल |
माडर्न	म ा ड र ् न |
विचारकेँ	व ि च ा र क े ँ |
शेअर्स	श े अ र ् स |
बाँड	ब ा ँ ड |
डिबेंचरकेँ	ड ि ब े ं च र क े ँ |
कस्टर्ड	क स ् ट र ् ड |
पुडिंग	प ु ड ि ं ग |
चुसय	च ु स य |
निजीयो	न ि ज ी य ो |
नेनहार	न े न ह ा र |
बुझलही	ब ु झ ल ह ी |
गेलहु	ग े ल ह ु |
केलही	क े ल ह ी |
औंकरी	औ ं क र ी |
दुधेलौ	द ु ध े ल ौ |
पुरानाके	प ु र ा न ा क े |
सबसाल	स ब स ा ल |
श्वेता	श ् व े त ा |
रेहु	र े ह ु |
सिंघी	स ि ं घ ी |
कतरा	क त र ा |
भाकुर	भ ा क ु र |
बुआरी	ब ु आ र ी |
माननीय	म ा न न ी य |
मोदीजीक	म ो द ी ज ी क |
शुभारंभ	श ु भ ा र ं भ |
बढ़इ	ब ढ़ इ |
उकासी	उ क ा स ी |
हार्टक	ह ा र ् ट क |
नाइजरक	न ा इ ज र क |
उसके	उ स क े |
फोर्ड	फ ो र ् ड |
खोलवाबै	ख ो ल व ा ब ै |
पंद्रहमे	प ं द ् र ह म े |
सबदिना	स ब द ि न ा |
देखाइल	द े ख ा इ ल |
लेवरेज	ल े व र े ज |
बेचभी	ब े च भ ी |
इरी	इ र ी |
मुँगा	म ु ँ ग ा |
जनमला	ज न म ल ा |
परोजन	प र ो ज न |
कारोबारीक	क ा र ो ब ा र ी क |
बाबाजीक	ब ा ब ा ज ी क |
प्लस	प ् ल स |
सेटलमेंट्स	स े ट ल म े ं ट ् स |
उत्पादकमे	उ त ् प ा द क म े |
चाइनामे	च ा इ न ा म े |
बुझाइ	ब ु झ ा इ |
चुकती	च ु क त ी |
अकारक	अ क ा र क |
बजारसँ	ब ज ा र स ँ |
मधुमाछियो	म ध ु म ा छ ि य ो |
ट्रोली	ट ् र ो ल ी |
धासा	ध ा स ा |
महाजाल	म ह ा ज ा ल |
बेलफेयर	ब े ल फ े य र |
पेटिंगक	प े ट ि ं ग क |
आनलक	आ न ल क |
फीचर	फ ी च र |
निहौरा	न ि ह ौ र ा |
